sample_name,collection_date,soil_depth,elev,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,Enz_Aril,Enz_Beta,Enz_Fosf,agrochem_addition,al_sat,altitude,annual_precpt,annual_temp,crop_rotation,cur_land_use,cur_vegetation,extreme_event,fao_class,fire,flooding,heavy_metals,local_class,microbial_biomass,ph,previous_land_use,soil_horizon,soil_text,soil_type,tillage,tot_nitro,tot_org_carb,metadata_description,owner_id
Test01,2025-09-15T09:30:00Z,18,540,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.711,-47.633)",0.82,1.37,2.15,"NPK (moderate)",14.2,541.0,1420,22.1,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",265.0,5.6,"pasture","Ap","sandy clay loam","Oxisol","no-till",0.15,1.82,"Fictional entry for MicroBRSoil demo near Piracicaba; small spatial variation across plots.",1
Test02,2025-09-15T10:05:00Z,20,545,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.709,-47.631)",0.79,1.34,2.09,"NPK (moderate)",13.9,546.2,1430,22.0,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",258.0,5.5,"pasture","Ap","sandy clay loam","Oxisol","no-till",0.14,1.78,"Fictional entry; same farm block, ~250 m east of Test01.",1
Test03,2025-09-15T10:40:00Z,19,538,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.713,-47.635)",0.84,1.41,2.18,"NPK (moderate)",14.7,538.6,1415,22.2,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",270.5,5.7,"pasture","Ap","sandy clay loam","Oxisol","no-till",0.16,1.86,"Fictional entry; gentle slope towards SW corner.",1
Test04,2025-09-15T11:15:00Z,22,552,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.708,-47.636)",0.77,1.31,2.02,"NPK (light)",12.8,551.7,1445,21.9,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",252.2,5.4,"pasture","Ap","sandy clay loam","Oxisol","reduced-till",0.13,1.71,"Fictional entry; slightly higher ridge position.",1
Test05,2025-09-15T11:50:00Z,17,536,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.712,-47.629)",0.81,1.36,2.11,"NPK (moderate)",13.6,536.9,1405,22.3,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",261.3,5.8,"pasture","Ap","sandy clay loam","Oxisol","no-till",0.15,1.80,"Fictional entry; lower footslope, slightly moister.",1
Test06,2025-09-15T12:25:00Z,21,548,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.710,-47.637)",0.76,1.29,1.98,"NPK (light)",12.5,548.3,1450,21.8,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",248.9,5.3,"pasture","Ap","sandy clay loam","Oxisol","reduced-till",0.12,1.68,"Fictional entry; headland area with slight compaction.",1
Test07,2025-09-15T13:00:00Z,18,543,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.714,-47.631)",0.83,1.39,2.16,"NPK (moderate)",14.4,543.4,1425,22.0,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",267.1,5.6,"pasture","Ap","sandy clay loam","Oxisol","no-till",0.15,1.84,"Fictional entry; central plot reference sample.",1
Test08,2025-09-15T13:35:00Z,23,555,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.707,-47.633)",0.74,1.27,1.95,"NPK (light)",12.1,554.6,1460,21.7,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",245.6,5.2,"pasture","Ap","sandy clay loam","Oxisol","reduced-till",0.11,1.64,"Fictional entry; crest position with thinner A horizon.",1
Test09,2025-09-15T14:10:00Z,16,533,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.715,-47.634)",0.86,1.43,2.21,"NPK (moderate)",15.1,533.8,1395,22.4,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",274.8,5.9,"pasture","Ap","sandy clay loam","Oxisol","no-till",0.17,1.90,"Fictional entry; drainage line nearby, slightly higher moisture.",1
Test10,2025-09-15T14:45:00Z,19,547,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.709,-47.638)",0.78,1.32,2.04,"NPK (moderate)",13.2,547.1,1440,21.9,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",255.4,5.5,"pasture","Ap","sandy clay loam","Oxisol","no-till",0.14,1.76,"Fictional entry; west edge, subtle wind exposure.",1
Test11,2025-09-15T15:20:00Z,18,541,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.706,-47.630)",0.80,1.35,2.10,"NPK (moderate)",13.7,541.5,1428,22.1,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",260.1,5.6,"pasture","Ap","sandy clay loam","Oxisol","no-till",0.15,1.79,"Fictional entry; NE corner, slight sandier texture lens.",1
Test12,2025-09-15T15:55:00Z,21,549,"Tropical savanna (Cwa)","No-till soybean/maize field","Cropland","Piracicaba, São Paulo, Brazil","(-22.713,-47.628)",0.75,1.28,1.99,"NPK (light)",12.3,549.2,1452,21.8,"soybean–maize","Agriculture","Soybean residue","none","Ferralsol (Rhodic)","none","none","none","Latossolo Vermelho distroférrico",249.7,5.3,"pasture","Ap","sandy clay loam","Oxisol","reduced-till",0.12,1.66,"Fictional entry; SE boundary, minor compaction from traffic.",1
